JobID: 4087, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4088, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4089, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4090, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4091, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4092, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4093, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4094, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (None)
JobID: 4095, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4096, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4097, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4098, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4099, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4105, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Resources)
JobID: 4106, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4107, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4108, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4109, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4110, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4111, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4100, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4101, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4102, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4103, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4104, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:01, Node: niklashome3
JobID: 4112, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4113, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4114, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4115, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4116, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4117, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4118, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4119, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4120, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4121, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4122, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4123, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4124, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4125, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
JobID: 4126, Partition: test, Name: nf-NFCOR, User: nfomin3, Time: 0:00, Node: (Priority)
