task_id;hostname;hash;native_id;process;tag;name;status;exit;module;container;cpus;time;disk;memory;attempt;submit;start;complete;duration;realtime;queue;%cpu;%mem;rss;vmem;peak_rss;peak_vmem;rchar;wchar;syscr;syscw;read_bytes;write_bytes;vol_ctxt;inv_ctxt;workdir;scratch;error_action
94;-;16/42b7e7;43769;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS;SPT5_T0_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T0_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317432;1742930322233;1742930327109;9677;0;nf-core;81.8;0.0;3301376;4489216;3301376;4489216;159442;5305;237;19;0;8192;2;1;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/16/42b7e7de87d493949aac022937b5dd;-;-
100;-;8f/c1cc83;43774;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS;SPT5_INPUT_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:BAM_REMOVE_ORPHANS (SPT5_INPUT_REP1);COMPLETED;0;-;quay.io/biocontainers/mulled-v2-57736af1eb98c01010848572c9fec9fff6ffaafd:402e865b8f6af2f3e58c6fc8d57127ff0144b2c7-0;2;21600000;-;6442450944;1;1742930317545;1742930327125;1742930327130;9585;2000;nf-core;140.0;0.0;24256512;1852956672;24256512;1852960768;20660834;19672172;3145;1377;0;19697664;3;10;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/8f/c1cc83b60ebc56150846f6713747fe;-;-
95;-;c1/f2d297;43773;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS;SPT5_T15_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SPT5_T15_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317519;1742930327123;1742930327124;9605;0;nf-core;82.8;0.0;3280896;4489216;3280896;4489216;161742;5309;237;19;0;8192;2;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/c1/f2d297f9e88a50d63462c5f2eea355;-;-
99;-;07/315d84;43775;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT;SPT5_T15_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T15_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317577;1742930327143;1742930327144;9567;0;nf-core;144.6;0.0;6946816;162738176;6946816;229982208;9558645;5488;1677;19;0;8192;164;1;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/07/315d849ad53e8de7db4f96b821138a;-;-
98;-;c2/59f460;43772;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT;SPT5_T0_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_T0_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317501;1742930327120;1742930327122;9621;0;nf-core;148.3;0.0;6991872;162738176;6991872;229982208;9205077;5488;1677;19;0;8192;157;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/c2/59f4607227e74e50936e173b258881;-;-
97;-;97/f883d4;43776;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT;SPT5_INPUT_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SPT5_INPUT_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930317771;1742930327145;1742930327150;9379;0;nf-core;167.7;0.0;6914048;162738176;6914048;229982208;11163653;5483;1849;19;0;8192;134;1;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/97/f883d4bfe7522db6ad4ffc5c676643;-;-
82;-;1c/a857cc;43777;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT;SPT5_INPUT_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_FILTER_BAMTOOLS:SAMTOOLS_SORT (SPT5_INPUT_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;2;21600000;-;6442450944;1;1742930317812;1742930327151;1742930332109;14297;0;nf-core;200.7;0.0;39657472;1862672384;39657472;1862672384;18956291;19441061;545;315;8192;10043392;62;14;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/1c/a857ccc998a30a1749e8885a368158;-;-
87;-;80/848f4e;43780;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS;SPT5_T0_REP2;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T0_REP2);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930318112;1742930332123;1742930332125;14013;1000;nf-core;126.7;0.0;7692288;164282368;7692288;231374848;9103797;73673;1696;35;0;73728;5;1;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/80/848f4e9bcee72a3247bf826aa994b8;-;-
89;-;43/e7909a;43781;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS;SPT5_T15_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_T15_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930318175;1742930332126;1742930332127;13952;0;nf-core;119.7;0.0;7880704;164282368;7880704;231219200;9540790;68306;1704;34;0;69632;4;1;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/43/e7909a82014a82f27aa6609f55857b;-;-
88;-;72/c33184;43779;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS;SPT5_INPUT_REP1;NFCORE_CHIPSEQ:CHIPSEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SPT5_INPUT_REP1);COMPLETED;0;-;quay.io/biocontainers/samtools:1.20--h50ea8bc_0;1;14400000;-;6442450944;1;1742930318095;1742930332110;1742930332123;14028;0;nf-core;129.0;0.0;7798784;164282368;7798784;231374848;11132849;45023;1850;28;0;45056;6;0;/home/nfomin3/dev/SlurmSetup/nextflow/chipseq/work/72/c3318441a97cba31ef20ab86527a58;-;-
